country,id,lat,lng,name,Temperature,Humidity,Cloudiness,Wind Speed
UA,711105,48.051208,23.48579,Bushtyno,35.6,100,75,4.7
MA,6546087,32.253941,-8.53351,Youssoufia,57.88,96,56,9.82
DE,2928712,52.583328,9.15,Estorf,39.2,93,75,13.87
GB,2638938,53.045441,-0.38692,Ruskington,35.6,95,68,10.29
AU,2057756,-33.049999,135.466675,Wudinna,84.2,56,24,11.95
CN,1805280,35.613468,110.958542,Jifeng,48.2,68,0,1.77
BF,2597267,11.41667,-3.41667,Province du Tuy,70.66,81,12,5.41
ID,8076877,-7.2174,108.830101,Legok,83.12,80,64,3.33
AU,2068838,-30.35,117.116669,Kalannie,96.13,20,0,7.43
MA,2529286,33.88306,-4.1862,Tazarine,46.13,99,88,3.22
IN,1272610,25.73333,85.0,Dighwara,80.6,49,80,4.29
IT,6534843,44.40823,7.32293,Monterosso Grana,6.26,60,0,1.61
CZ,3073357,50.187431,12.90333,Kolová,37.71,85,75,9.17
IT,3172269,44.994041,7.64182,Nichelino,35.6,80,0,3.36
IT,6540093,46.32159,9.39864,Chiavenna,23.52,92,0,2.24
PL,3085151,54.441799,18.56003,Sopot,32,99,75,3.36
RU,514063,44.275002,39.293056,Ostrovskaya Shchel’,50.72,97,80,5.35
BG,726463,42.916672,24.26667,Obshtina Teteven,30.79,73,80,2.1
DE,6553528,49.833302,7.95,Pleitersheim,37.09,100,90,10.29
DE,2891969,54.01907,12.84842,Keffenbrink,32,96,75,4.7
BR,3398428,-2.59833,-43.461109,Humberto de Campos,81.73,91,92,9.6
ID,7846416,-7.2609,106.727097,Cibuntu,82.18,81,88,5.35
DE,2872053,51.900002,12.9,Mellnitz,36.16,93,75,9.17
TN,2473654,35.299999,10.71667,El Jem,50.94,71,0,6.93
FR,3013326,45.717098,2.73432,Heume-l'Église,35.6,85,0,9.17
ES,3107787,41.10236,-4.0328,Torreiglesias,37.49,98,92,5.08
ET,339258,12.51667,37.433331,Deresg?,70.7,36,0,3.62
FR,3017416,47.148571,5.76051,Fraisans,37.29,86,75,10.29
US,4104172,33.632332,-92.76683,Camark,42.15,60,75,3.36
US,5789198,47.647881,-121.914009,Carnation,42.57,65,90,1.54
CY,146767,35.058331,33.783329,Athna,57.94,100,75,9.17
CN,1807634,35.379269,105.009178,Huajialing,48.92,44,0,4.56
ID,1965433,-8.0878,112.670403,Kasembon,75.92,88,56,1.28
FI,645711,62.5,24.83333,Multia,8.6,71,0,2.24
AT,2777109,48.200001,16.25,Hacking,40.01,80,0,10.29
BG,726845,41.48333,23.23333,Starchevo,42.53,98,92,2.06
